EMPLOYEE_ID,USERNAME,TASK_COMPLETED_STATUS,TASK_TITLE
1,Bret,0,delectus aut autem
1,Bret,0,quis ut nam facilis et officia qui
1,Bret,0,fugiat veniam minus
1,Bret,1,et porro tempora
1,Bret,0,laboriosam mollitia et enim quasi adipisci quia provident illum
1,Bret,0,qui ullam ratione quibusdam voluptatem quia omnis
1,Bret,0,illo expedita consequatur quia in
1,Bret,1,quo adipisci enim quam ut ab
1,Bret,0,molestiae perspiciatis ipsa
1,Bret,1,illo est ratione doloremque quia maiores aut
1,Bret,1,vero rerum temporibus dolor
1,Bret,1,ipsa repellendus fugit nisi
1,Bret,0,et doloremque nulla
1,Bret,1,repellendus sunt dolores architecto voluptatum
1,Bret,1,ab voluptatum amet voluptas
1,Bret,1,accusamus eos facilis sint et aut voluptatem
1,Bret,1,quo laboriosam deleniti aut qui
1,Bret,0,dolorum est consequatur ea mollitia in culpa
1,Bret,1,molestiae ipsa aut voluptatibus pariatur dolor nihil
1,Bret,1,ullam nobis libero sapiente ad optio sint
